feature_id,municipality_mapbiomas,abbrev_state,biome
17694,Alta Floresta D'Oeste,RO,AMAZÔNIA
17695,Ariquemes,RO,AMAZÔNIA
17696,Cabixi,RO,AMAZÔNIA
17697,Cacoal,RO,AMAZÔNIA
17698,Cerejeiras,RO,AMAZÔNIA
17699,Colorado do Oeste,RO,AMAZÔNIA
17700,Corumbiara,RO,AMAZÔNIA
17701,Costa Marques,RO,AMAZÔNIA
17702,Espigão D'Oeste,RO,AMAZÔNIA
17703,Guajará-Mirim,RO,AMAZÔNIA
17704,Jaru,RO,AMAZÔNIA
17705,Ji-Paraná,RO,AMAZÔNIA
17706,Machadinho D'Oeste,RO,AMAZÔNIA
17707,Nova Brasilândia D'Oeste,RO,AMAZÔNIA
17708,Ouro Preto do Oeste,RO,AMAZÔNIA
17709,Pimenta Bueno,RO,AMAZÔNIA
17710,Porto Velho,RO,AMAZÔNIA
17711,Presidente Médici,RO,AMAZÔNIA
17712,Rio Crespo,RO,AMAZÔNIA
17713,Rolim de Moura,RO,AMAZÔNIA
17714,Santa Luzia D'Oeste,RO,AMAZÔNIA
17715,Vilhena,RO,AMAZÔNIA
17716,São Miguel do Guaporé,RO,AMAZÔNIA
17717,Nova Mamoré,RO,AMAZÔNIA
17718,Alvorada D'Oeste,RO,AMAZÔNIA
17719,Alto Alegre dos Parecis,RO,AMAZÔNIA
17720,Alto Paraíso,RO,AMAZÔNIA
17721,Buritis,RO,AMAZÔNIA
17722,Novo Horizonte do Oeste,RO,AMAZÔNIA
17723,Cacaulândia,RO,AMAZÔNIA
17724,Campo Novo de Rondônia,RO,AMAZÔNIA
17725,Candeias do Jamari,RO,AMAZÔNIA
17726,Castanheiras,RO,AMAZÔNIA
17727,Chupinguaia,RO,AMAZÔNIA
17728,Cujubim,RO,AMAZÔNIA
17729,Governador Jorge Teixeira,RO,AMAZÔNIA
17730,Itapuã do Oeste,RO,AMAZÔNIA
17731,Ministro Andreazza,RO,AMAZÔNIA
17732,Mirante da Serra,RO,AMAZÔNIA
17733,Monte Negro,RO,AMAZÔNIA
17734,Nova União,RO,AMAZÔNIA
17735,Parecis,RO,AMAZÔNIA
17736,Pimenteiras do Oeste,RO,AMAZÔNIA
17737,Primavera de Rondônia,RO,AMAZÔNIA
17738,São Felipe D'Oeste,RO,AMAZÔNIA
17739,São Francisco do Guaporé,RO,AMAZÔNIA
17740,Seringueiras,RO,AMAZÔNIA
17741,Teixeirópolis,RO,AMAZÔNIA
17742,Theobroma,RO,AMAZÔNIA
17743,Urupá,RO,AMAZÔNIA
17744,Vale do Anari,RO,AMAZÔNIA
17745,Vale do Paraíso,RO,AMAZÔNIA
17746,Acrelândia,AC,AMAZÔNIA
17747,Assis Brasil,AC,AMAZÔNIA
17748,Brasiléia,AC,AMAZÔNIA
17749,Bujari,AC,AMAZÔNIA
17750,Capixaba,AC,AMAZÔNIA
17751,Cruzeiro do Sul,AC,AMAZÔNIA
17752,Epitaciolândia,AC,AMAZÔNIA
17753,Feijó,AC,AMAZÔNIA
17754,Jordão,AC,AMAZÔNIA
17755,Mâncio Lima,AC,AMAZÔNIA
17756,Manoel Urbano,AC,AMAZÔNIA
17757,Marechal Thaumaturgo,AC,AMAZÔNIA
17758,Plácido de Castro,AC,AMAZÔNIA
17759,Porto Walter,AC,AMAZÔNIA
17760,Rio Branco,AC,AMAZÔNIA
17761,Rodrigues Alves,AC,AMAZÔNIA
17762,Santa Rosa do Purus,AC,AMAZÔNIA
17763,Senador Guiomard,AC,AMAZÔNIA
17764,Sena Madureira,AC,AMAZÔNIA
17765,Tarauacá,AC,AMAZÔNIA
17766,Xapuri,AC,AMAZÔNIA
17767,Porto Acre,AC,AMAZÔNIA
17768,Alvarães,AM,AMAZÔNIA
17769,Amaturá,AM,AMAZÔNIA
17770,Anamã,AM,AMAZÔNIA
17771,Anori,AM,AMAZÔNIA
17772,Apuí,AM,AMAZÔNIA
17773,Atalaia do Norte,AM,AMAZÔNIA
17774,Autazes,AM,AMAZÔNIA
17775,Barcelos,AM,AMAZÔNIA
17776,Barreirinha,AM,AMAZÔNIA
17777,Benjamin Constant,AM,AMAZÔNIA
17778,Beruri,AM,AMAZÔNIA
17779,Boa Vista do Ramos,AM,AMAZÔNIA
17780,Boca do Acre,AM,AMAZÔNIA
17781,Borba,AM,AMAZÔNIA
17782,Caapiranga,AM,AMAZÔNIA
17783,Canutama,AM,AMAZÔNIA
17784,Carauari,AM,AMAZÔNIA
17785,Careiro,AM,AMAZÔNIA
