var,x,y,color,size,slider,label,desc,group,tipo,categoria
municipio,FALSE,FALSE,FALSE,FALSE,FALSE,Município,Município,Geral,Texto,NA
idmunic,FALSE,FALSE,FALSE,FALSE,FALSE,Código IBGE,Código IBGE do município,Geral,Inteiro,NA
estado,TRUE,FALSE,TRUE,FALSE,FALSE,Estado,Estado (UF),Geral,Texto,NA
lat,TRUE,FALSE,TRUE,FALSE,FALSE,Latitude,Latitude,Geral,Coordenadas,NA
longitude,TRUE,FALSE,TRUE,FALSE,FALSE,Longitude,Longitude,Geral,Coordenadas,NA
latgms,FALSE,FALSE,FALSE,FALSE,FALSE,Latitude (ms),"Latitude em graus, minutos e segundos",Geral,Coordenadas,NA
longms,FALSE,FALSE,FALSE,FALSE,FALSE,Longitude (ms),"Longitude em graus, minutos e segundos",Geral,Coordenadas,NA
codibge,FALSE,FALSE,FALSE,FALSE,FALSE,Código IBGE,Código IBGE do município,Geral,Inteiro,NA
areakm2,TRUE,TRUE,TRUE,TRUE,FALSE,Área observada,Área observada,PRODES,km2,Ambiente
desmatado,TRUE,TRUE,TRUE,TRUE,FALSE,Área desmatada,Área desmatada,PRODES,km2,Ambiente
incremento,TRUE,TRUE,TRUE,TRUE,FALSE,Incremento do desmatamento,Incremento do desmatamento,PRODES,km2,Ambiente
floresta,TRUE,TRUE,TRUE,TRUE,FALSE,Área de floresta,Área de floresta,PRODES,km2,Ambiente
nuvem,TRUE,TRUE,TRUE,TRUE,FALSE,Área de nuvens,Área de nuvens,PRODES,km2,Ambiente
naoobservado,TRUE,TRUE,TRUE,TRUE,FALSE,Área não observada,Área com observações descartadas por baixa visibilidade ou por não pertencer à Amazônia Legal,PRODES,km2,Ambiente
naofloresta,TRUE,TRUE,TRUE,TRUE,FALSE,Área sem floresta,Área sem ocorrência natural de floresta,PRODES,km2,Ambiente
hidrografia,TRUE,TRUE,TRUE,TRUE,FALSE,Hidrografia,Área de corpos d'água,PRODES,km2,Ambiente
ano,FALSE,FALSE,FALSE,FALSE,FALSE,Ano,Ano,Geral,Inteiro,NA
year,TRUE,FALSE,FALSE,FALSE,TRUE,Ano,Ano,Geral,Inteiro,NA
município,FALSE,FALSE,FALSE,FALSE,FALSE,Município,Município,Geral,Texto,NA
gdp,TRUE,TRUE,TRUE,TRUE,FALSE,PIB,Produto Interno Bruto,IBGE,Inteiro,Economia
pop,TRUE,TRUE,TRUE,TRUE,FALSE,População,População,IBGE,Inteiro,Economia
gdppc,TRUE,TRUE,TRUE,TRUE,FALSE,PIB per capita,PIB per capita,IBGE,Número,Economia
areaAgriculture_and_Pasture,TRUE,TRUE,TRUE,TRUE,FALSE,Área agricultura e pasto,Área agricultura e pasto,MapBiomas,ha,Ambiente
areaBeach_and_Dune,TRUE,TRUE,TRUE,TRUE,FALSE,Área praia e dunas,Área praia e dunas,MapBiomas,ha,Ambiente
areaForest_Formation,TRUE,TRUE,TRUE,TRUE,FALSE,Área formação de floresta,Área formação de floresta,MapBiomas,ha,Ambiente
areaForest_Plantation,TRUE,TRUE,TRUE,TRUE,FALSE,Área plantação de floresta,Área plantação de floresta,MapBiomas,ha,Ambiente
areaGrassland,TRUE,TRUE,TRUE,TRUE,FALSE,Área campo,Área campo,MapBiomas,ha,Ambiente
areaMagrove,TRUE,TRUE,TRUE,TRUE,FALSE,Área mangue,Área mangue,MapBiomas,ha,Ambiente
areaMining,TRUE,TRUE,TRUE,TRUE,FALSE,Área mineração,Área mineração,MapBiomas,ha,Ambiente
areaMosaic_of_Crops,TRUE,TRUE,TRUE,TRUE,FALSE,Área colheita,Área mosaico de colheita,MapBiomas,ha,Ambiente
areaNon_Observed,TRUE,TRUE,TRUE,TRUE,FALSE,Área não observada,Área não observada,MapBiomas,ha,Ambiente
