"CD_UF" "NM_UF" "SIGLA" "CD_MUN" "NM_MUN" "AMZ_LEGAL"
"1" 11 "Rondônia" "RO" 1100015 "Alta Floresta D'Oeste" 1
"2" 11 "Rondônia" "RO" 1100379 "Alto Alegre dos Parecis" 1
"3" 11 "Rondônia" "RO" 1100403 "Alto Paraíso" 1
"4" 11 "Rondônia" "RO" 1100346 "Alvorada D'Oeste" 1
"5" 11 "Rondônia" "RO" 1100023 "Ariquemes" 1
"6" 11 "Rondônia" "RO" 1100452 "Buritis" 1
"7" 11 "Rondônia" "RO" 1100031 "Cabixi" 1
"8" 11 "Rondônia" "RO" 1100601 "Cacaulândia" 1
"9" 11 "Rondônia" "RO" 1100049 "Cacoal" 1
"10" 11 "Rondônia" "RO" 1100700 "Campo Novo de Rondônia" 1
"11" 11 "Rondônia" "RO" 1100809 "Candeias do Jamari" 1
"12" 11 "Rondônia" "RO" 1100908 "Castanheiras" 1
"13" 11 "Rondônia" "RO" 1100056 "Cerejeiras" 1
"14" 11 "Rondônia" "RO" 1100924 "Chupinguaia" 1
"15" 11 "Rondônia" "RO" 1100064 "Colorado do Oeste" 1
"16" 11 "Rondônia" "RO" 1100072 "Corumbiara" 1
"17" 11 "Rondônia" "RO" 1100080 "Costa Marques" 1
"18" 11 "Rondônia" "RO" 1100940 "Cujubim" 1
"19" 11 "Rondônia" "RO" 1100098 "Espigão D'Oeste" 1
"20" 11 "Rondônia" "RO" 1101005 "Governador Jorge Teixeira" 1
"21" 11 "Rondônia" "RO" 1100106 "Guajará-Mirim" 1
"22" 11 "Rondônia" "RO" 1101104 "Itapuã do Oeste" 1
"23" 11 "Rondônia" "RO" 1100114 "Jaru" 1
"24" 11 "Rondônia" "RO" 1100122 "Ji-Paraná" 1
"25" 11 "Rondônia" "RO" 1100130 "Machadinho D'Oeste" 1
"26" 11 "Rondônia" "RO" 1101203 "Ministro Andreazza" 1
"27" 11 "Rondônia" "RO" 1101302 "Mirante da Serra" 1
"28" 11 "Rondônia" "RO" 1101401 "Monte Negro" 1
"29" 11 "Rondônia" "RO" 1100148 "Nova Brasilândia D'Oeste" 1
