municipality_mapbiomas,code_muni
Alta Floresta D'Oeste,1100015
Ariquemes,1100023
Cabixi,1100031
Cacoal,1100049
Cerejeiras,1100056
Colorado do Oeste,1100064
Corumbiara,1100072
Costa Marques,1100080
Espigao D'Oeste,1100098
Guajara-Mirim,1100106
Jaru,1100114
Ji-Parana,1100122
Machadinho D'Oeste,1100130
Nova Brasilandia D'Oeste,1100148
Ouro Preto do Oeste,1100155
Pimenta Bueno,1100189
Porto Velho,1100205
Presidente Medici,1100254
Rio Crespo,1100262
Rolim de Moura,1100288
Santa Luzia D'Oeste,1100296
Vilhena,1100304
Sao Miguel do Guapore,1100320
Nova Mamore,1100338
Alvorada D'Oeste,1100346
Alto Alegre dos Parecis,1100379
Alto Paraiso,1100403
Buritis,1100452
Novo Horizonte do Oeste,1100502
Cacaulandia,1100601
Campo Novo de Rondonia,1100700
Candeias do Jamari,1100809
Castanheiras,1100908
Chupinguaia,1100924
Cujubim,1100940
Governador Jorge Teixeira,1101005
Itapua do Oeste,1101104
Ministro Andreazza,1101203
Mirante da Serra,1101302
Monte Negro,1101401
Nova Uniao,1101435
Parecis,1101450
Pimenteiras do Oeste,1101468
Primavera de Rondonia,1101476
Sao Felipe D'Oeste,1101484
Sao Francisco do Guapore,1101492
Seringueiras,1101500
Teixeiropolis,1101559
Theobroma,1101609
Urupa,1101708
Vale do Anari,1101757
Vale do Paraiso,1101807
Acrelandia,1200013
Assis Brasil,1200054
Brasileia,1200104
Bujari,1200138
Capixaba,1200179
Cruzeiro do Sul,1200203
Epitaciolandia,1200252
Feijo,1200302
Jordao,1200328
Mancio Lima,1200336
Manoel Urbano,1200344
Marechal Thaumaturgo,1200351
Placido de Castro,1200385
Porto Walter,1200393
Rio Branco,1200401
Rodrigues Alves,1200427
Santa Rosa do Purus,1200435
Senador Guiomard,1200450
Sena Madureira,1200500
Tarauaca,1200609
Xapuri,1200708
Porto Acre,1200807
Alvaraes,1300029
Amatura,1300060
Anama,1300086
Anori,1300102
Apui,1300144
Atalaia do Norte,1300201
Autazes,1300300
Barcelos,1300409
Barreirinha,1300508
Benjamin Constant,1300607
Beruri,1300631
Boa Vista do Ramos,1300680
Boca do Acre,1300706
Borba,1300805
Caapiranga,1300839
Canutama,1300904
Carauari,1301001
Careiro,1301100
Careiro da Varzea,1301159
Coari,1301209
Codajas,1301308
Eirunepe,1301407
Envira,1301506
Fonte Boa,1301605
Guajara,1301654
Humaita,1301704
Ipixuna,1301803
Iranduba,1301852
Itacoatiara,1301902
Itamarati,1301951
Itapiranga,1302009
Japura,1302108
Jurua,1302207
Jutai,1302306
Labrea,1302405
Manacapuru,1302504
Manaquiri,1302553
Manaus,1302603
Manicore,1302702
Maraa,1302801
Maues,1302900
Nhamunda,1303007
Nova Olinda do Norte,1303106
Novo Airao,1303205
Novo Aripuana,1303304
Parintins,1303403
Pauini,1303502
Presidente Figueiredo,1303536
Rio Preto da Eva,1303569
Santa Isabel do Rio Negro,1303601
Santo Antonio do Ica,1303700
Sao Gabriel da Cachoeira,1303809
Sao Paulo de Olivenca,1303908
Sao Sebastiao do Uatuma,1303957
Silves,1304005
Tabatinga,1304062
Tapaua,1304104
Tefe,1304203
Tonantins,1304237
Uarini,1304260
Urucara,1304302
Urucurituba,1304401
Amajari,1400027
Alto Alegre,1400050
Boa Vista,1400100
Bonfim,1400159
Canta,1400175
Caracarai,1400209
Caroebe,1400233
Iracema,1400282
Mucajai,1400308
Normandia,1400407
Pacaraima,1400456
Rorainopolis,1400472
Sao Joao da Baliza,1400506
Sao Luiz,1400605
Uiramuta,1400704
Abaetetuba,1500107
Abel Figueiredo,1500131
Acara,1500206
Afua,1500305
Agua Azul do Norte,1500347
Alenquer,1500404
Almeirim,1500503
Altamira,1500602
Anajas,1500701
Ananindeua,1500800
Anapu,1500859
Augusto Correa,1500909
Aurora do Para,1500958
Aveiro,1501006
Bagre,1501105
Baiao,1501204
Bannach,1501253
Barcarena,1501303
Belem,1501402
Belterra,1501451
Benevides,1501501
Bom Jesus do Tocantins,1501576
Bonito,1501600
Braganca,1501709
Brasil Novo,1501725
Brejo Grande do Araguaia,1501758
Breu Branco,1501782
Breves,1501808
Bujaru,1501907
Cachoeira do Piria,1501956
Cachoeira do Arari,1502004
Cameta,1502103
Canaa dos Carajas,1502152
Capanema,1502202
Capitao Poco,1502301
Castanhal,1502400
Chaves,1502509
Colares,1502608
Conceicao do Araguaia,1502707
Concordia do Para,1502756
Cumaru do Norte,1502764
Curionopolis,1502772
Curralinho,1502806
Curua,1502855
Curuca,1502905
Dom Eliseu,1502939
Eldorado do Carajas,1502954
Faro,1503002
Floresta do Araguaia,1503044
Garrafao do Norte,1503077
Goianesia do Para,1503093
Gurupa,1503101
Igarape-Acu,1503200
Igarape-Miri,1503309
Inhangapi,1503408
Ipixuna do Para,1503457
Irituia,1503507
Itaituba,1503606
Itupiranga,1503705
Jacareacanga,1503754
Jacunda,1503804
Juruti,1503903
Limoeiro do Ajuru,1504000
Mae do Rio,1504059
Magalhaes Barata,1504109
Maraba,1504208
Maracana,1504307
Marapanim,1504406
Marituba,1504422
Medicilandia,1504455
Melgaco,1504505
Mocajuba,1504604
Moju,1504703
Mojui dos Campos,1504752
Monte Alegre,1504802
Muana,1504901
Nova Esperanca do Piria,1504950
Nova Ipixuna,1504976
Nova Timboteua,1505007
Novo Progresso,1505031
Novo Repartimento,1505064
Obidos,1505106
Oeiras do Para,1505205
Oriximina,1505304
Ourem,1505403
Ourilandia do Norte,1505437
Pacaja,1505486
Palestina do Para,1505494
Paragominas,1505502
Parauapebas,1505536
Pau D'Arco,1505551
Peixe-Boi,1505601
Picarra,1505635
Placas,1505650
Ponta de Pedras,1505700
Portel,1505809
Porto de Moz,1505908
Prainha,1506005
Primavera,1506104
Quatipuru,1506112
Redencao,1506138
Rio Maria,1506161
Rondon do Para,1506187
Ruropolis,1506195
Salinopolis,1506203
Salvaterra,1506302
Santa Barbara do Para,1506351
Santa Cruz do Arari,1506401
Santa Izabel do Para,1506500
Santa Luzia do Para,1506559
Santa Maria das Barreiras,1506583
Santa Maria do Para,1506609
Santana do Araguaia,1506708
Santarem,1506807
Santarem Novo,1506906
Santo Antonio do Taua,1507003
Sao Caetano de Odivelas,1507102
Sao Domingos do Araguaia,1507151
Sao Domingos do Capim,1507201
Sao Felix do Xingu,1507300
Sao Francisco do Para,1507409
Sao Geraldo do Araguaia,1507458
Sao Joao da Ponta,1507466
Sao Joao de Pirabas,1507474
Sao Joao do Araguaia,1507508
Sao Miguel do Guama,1507607
Sao Sebastiao da Boa Vista,1507706
Sapucaia,1507755
Senador Jose Porfirio,1507805
Soure,1507904
Tailandia,1507953
Terra Alta,1507961
Terra Santa,1507979
Tome-Acu,1508001
Tracuateua,1508035
Trairao,1508050
Tucuma,1508084
Tucurui,1508100
