Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2015,Incremento20142015,Floresta2015,Nuvem2015,NaoObservado2015,NaoFloresta2015,Hidrografia2015,Soma 
 1,-3.25303,-45.97435,S 3 15 10.91,O 45 58 27.66,Zé Doca,2114007,MA,2438,2016.8,0.8,376.1,45.1,0.0,0.0,0.0,100
 2,-6.84864,-49.25551,S 6 50 55.10,O 49 15 19.84,Xinguara,1508407,PA,3793,3377.5,1.1,397.4,0.5,0.0,0.0,17.6,100
 3,-10.61178,-68.46285,S 10 36 42.41,O 68 27 46.26,Xapuri,1200708,AC,5511,1353.1,18.3,4157.9,0.0,0.0,0.0,0.0,100
 4,-6.59866,-48.48198,S 6 35 55.18,O 48 28 55.13,Xambioá,1722107,TO,1191,996.2,1.6,153.7,0.0,0.0,11.0,30.1,100
 5,-6.88444,-47.99094,S 6 53 3.98,O 47 59 27.38,Wanderlândia,1722081,TO,1382,316.6,0.3,144.6,0.0,0.0,920.8,0.0,100
 6,-4.15502,-45.29588,S 4 9 18.07,O 45 17 45.17,Vitorino Freire,2113009,MA,1209,1166.3,0.0,0,0.0,0.0,43.3,0.0,100
 7,-3.19117,-51.87114,S 3 11 28.21,O 51 52 16.10,Vitória do Xingu,1508357,PA,3136,1974.1,47.7,984.8,27.6,0.0,0.1,149.4,99
 8,-3.54938,-44.93269,S 3 32 57.77,O 44 55 57.68,Vitória do Mearim,2112902,MA,736,241.9,0.0,8.6,10.7,0.0,464.9,9.9,100
 9,-1.01612,-52.05024,S 1 0 58.03,O 52 3 0.86,Vitória do Jari,1600808,AP,2481,205.8,0.4,1238.1,527.7,0.0,379.8,129.6,100
 10,-1.09331,-46.26696,S 1 5 35.92,O 46 16 1.06,Viseu,1508308,PA,4971,3464.9,4.1,1039.4,334.0,0.0,45.4,87.3,100
 11,-12.12351,-60.11211,S 12 7 24.64,O 60 6 43.60,Vilhena,1100304,RO,11584,1778.2,15.8,8118.5,0.0,0.0,1685.8,1.5,99
 12,-10.01731,-51.43727,S 10 1 2.32,O 51 26 14.17,Vila Rica,5108600,MT,7443,4638.5,6.3,2607.8,0.0,0.0,186.8,9.9,100
 13,-5.03923,-48.09734,S 5 2 21.23,O 48 5 50.42,Vila Nova dos Martírios,2112852,MA,1196,971.7,0.3,83.3,0.0,0.0,131.8,9.2,99
 14,-15.13556,-60.01729,S 15 8 8.02,O 60 1 2.24,Vila Bela da Santíssima Trindade,5105507,MT,13521,4626.4,7.6,2228.3,2.9,0.0,6590.5,72.9,100
 15,-0.91777,-48.11811,S 0 55 3.97,O 48 7 5.20,Vigia,1508209,PA,536,218.8,1.4,107.4,32.0,0.0,16.4,161.4,100
 16,-3.13012,-45.18793,S 3 7 48.43,O 45 11 16.55,Viana,2112803,MA,1176,506.0,0.0,71.3,21.3,0.0,382.3,195.1,100
 17,-12.48409,-55.32384,S 12 29 2.72,O 55 19 25.82,Vera,5108501,MT,2952,1949.5,7.2,984.6,0.0,0.0,17.8,0.1,99
 18,-15.55785,-56.34462,S 15 33 28.26,O 56 20 40.63,Várzea Grande,5108402,MT,939,0.0,0.0,1.3,0.0,0.0,937.7,0.0,100
 19,-10.36243,-62.07227,S 10 21 44.75,O 62 4 20.17,Vale do Paraíso,1101807,RO,974,872.1,1.3,97.7,0.0,0.0,3.5,0.7,100
 20,-9.69033,-61.77120,S 9 41 25.19,O 61 46 16.32,Vale do Anari,1101757,RO,3166,1248.9,14.5,1886.8,0.0,0.0,11.3,19.0,100
 21,-15.02325,-58.95656,S 15 1 23.70,O 58 57 23.62,Vale de São Domingos,5108352,MT,1913,605.5,0.8,496.4,0.0,0.0,811.1,0.0,100
 22,-11.11448,-62.45596,S 11 6 52.13,O 62 27 21.46,Urupá,1101708,RO,841,692.1,1.0,51.2,0.0,0.0,97.7,0.0,100
 23,-2.83490,-57.83095,S 2 50 5.64,O 57 49 51.42,Urucurituba,1304401,AM,2915,97.0,0.2,128.0,0.0,0.0,1689.6,1000.4,100
 24,-1.24938,-58.78714,S 1 14 57.77,O 58 47 13.70,Urucará,1304302,AM,28012,344.3,0.4,24400.7,2197.6,0.0,423.0,646.4,100
 25,-3.57633,-53.74101,S 3 34 34.79,O 53 44 27.64,Uruará,1508159,PA,10794,3251.4,53.2,6430.1,1112.3,0.0,0.0,0.2,99
 26,-11.53596,-54.35070,S 11 32 9.46,O 54 21 2.52,União do Sul,5108303,MT,4583,1123.8,38.5,3436.5,0.0,0.0,22.7,0.0,100
 27,-3.80187,-47.54701,S 3 48 6.73,O 47 32 49.24,Ulianópolis,1508126,PA,5122,3505.9,22.5,1322.2,293.9,0.0,0.0,0.0,100
 28,4.71636,-60.34048,N 4 42 58.90,O 60 20 25.73,Uiramutã,1400704,RR,8117,48.0,0.1,2091.6,85.2,0.0,5884.1,8.1,99
 29,-3.20648,-65.43058,S 3 12 23.33,O 65 25 50.09,Uarini,1304260,AM,10448,256.4,0.5,9637.4,22.0,0.0,100.4,431.8,99
 30,-2.11952,-45.43842,S 2 7 10.27,O 45 26 18.31,Turilândia,2112456,MA,1529,1200.5,0.0,47.3,85.1,0.0,135.6,60.5,100
 31,-1.47124,-45.40039,S 1 28 16.46,O 45 24 1.40,Turiaçu,2112407,MA,2603,1934.7,1.6,275.9,277.7,0.0,48.0,66.7,100
 32,-8.35527,-48.19828,S 8 21 18.97,O 48 11 53.81,Tupiratins,1721307,TO,900,2.2,0.0,6.8,0.0,0.0,883.1,7.9,100
 33,-8.94054,-48.28255,S 8 56 25.94,O 48 16 57.18,Tupirama,1721257,TO,715,0.0,0.0,0,0.0,0.0,709.8,5.7,100
 34,-5.60091,-44.82688,S 5 36 3.28,O 44 49 36.77,Tuntum,2112308,MA,3619,1237.3,9.4,404.2,0.0,0.0,1933.7,43.8,99
 35,-3.77013,-45.57549,S 3 46 12.47,O 45 34 31.76,Tufilândia,2112274,MA,274,249.0,0.0,0.0,0.0,0.0,25.0,0.0,100
 36,-3.79728,-49.80670,S 3 47 50.21,O 49 48 24.12,Tucuruí,1508100,PA,2095,799.1,23.2,775.6,37.5,0.0,4.7,478.1,99
 37,-6.81334,-51.41284,S 6 48 48.02,O 51 24 46.22,Tucumã,1508084,PA,2513,2286.9,4.2,218.5,0.0,0.0,0.0,7.6,99
 38,-4.53616,-44.66999,S 4 32 10.18,O 44 40 11.96,Trizidela do Vale,2112233,MA,225,153.7,0.0,71.3,0.0,0.0,0.0,0.0,100
 39,-5.10620,-55.93385,S 5 6 22.32,O 55 56 1.86,Trairão,1508050,PA,11997,1285.2,25.0,10563.6,45.1,0.0,1.1,102.0,99
 40,-0.92904,-46.93052,S 0 55 44.54,O 46 55 49.87,Tracuateua,1508035,PA,858,468.7,0.3,104.1,75.6,0.0,188.8,20.8,99
 41,-16.29768,-52.91830,S 16 17 51.65,O 52 55 5.88,Torixoréu,5108204,MT,2397,0.0,0.0,1.7,0.0,0.0,2394.2,1.1,99
 42,-2.57583,-67.47268,S 2 34 32.99,O 67 28 21.65,Tonantins,1304237,AM,6619,85.0,0.0,3539.7,2611.2,0.0,67.4,315.7,100
