survey,dataset,geo_level,year,sidra_code,url,docs_url,available_time,available_geo,archive_file,sheet,layer_name,version,resolver
aneel,energy_development_budget,,,,,,2017-2022,,,,,,aneel
aneel,energy_development_budget,,2017,,https://dadosabertos.aneel.gov.br/dataset/a7191647-b187-4893-b20a-8954d57ff89c/resource/684a68fd-4278-4af1-bcf2-c02810dd7c0c/download/cde-beneficiarios-rede-basica-2017.csv,,,,,,,,
aneel,energy_development_budget,,2018,,https://dadosabertos.aneel.gov.br/dataset/a7191647-b187-4893-b20a-8954d57ff89c/resource/237f3f67-4795-4bd7-a4d2-5f6071ef39af/download/cde-beneficiarios-rede-basica-2018.csv,,,,,,,,
aneel,energy_development_budget,,2019,,https://dadosabertos.aneel.gov.br/dataset/a7191647-b187-4893-b20a-8954d57ff89c/resource/0bd1f129-39c5-4edc-b272-3f1d11181cca/download/cde-beneficiarios-rede-basica-2019.csv,,,,,,,,
aneel,energy_development_budget,,2020,,https://dadosabertos.aneel.gov.br/dataset/a7191647-b187-4893-b20a-8954d57ff89c/resource/f77bb713-cc06-406a-baa8-246acc357ff5/download/cde-beneficiarios-rede-basica-2020.csv,,,,,,,,
aneel,energy_development_budget,,2021,,https://dadosabertos.aneel.gov.br/dataset/a7191647-b187-4893-b20a-8954d57ff89c/resource/cdf1b068-7c76-462a-ab57-d6619ad290fa/download/cde-beneficiarios-rede-basica-2021.csv,,,,,,,,
aneel,energy_development_budget,,2022,,https://dadosabertos.aneel.gov.br/dataset/a7191647-b187-4893-b20a-8954d57ff89c/resource/e390baae-5304-4a94-854f-0905094b3357/download/cde-beneficiarios-rede-basica-2022.csv,,,,,,,,
aneel,energy_enterprises_distributed,,,,https://dadosabertos.aneel.gov.br/dataset/5e0fafd2-21b9-4d5b-b622-40438d40aba2/resource/b1bd71e7-d0ad-4214-9053-cbd58e9564a7/download/empreendimento-geracao-distribuida.csv,,,,,,,,aneel
aneel,energy_generation,,,,https://git.aneel.gov.br/publico/centralconteudo/-/raw/main/relatorioseindicadores/geracao/BD_SIGA.xlsx?inline=false,,1908-2021,municipality,,,,,
baci,HS92,,,,https://www.cepii.fr/DATA_DOWNLOAD/baci/data/BACI_HS92_V202601.zip,,1995-2024,country,*$year$_V202601.csv,,,,baci
cempre,cempre,,,6449,,https://sidra.ibge.gov.br/pesquisa/cempre/tabelas,2006-2020,"country, state, municipality",,,,,
censoagro,,,,,,https://sidra.ibge.gov.br/pesquisa/censo-agropecuario/series-temporais,,"country, state",,,,,
censoagro,agricultural_area_use,,,264,,,"1970, 1975, 1980, 1985, 1995, 2006",,,,,,
censoagro,agricultural_employees_tractors,,,265,,,"1970, 1975, 1980, 1985, 1995, 2006",,,,,,
censoagro,agricultural_land_area,,,263,,,"1920, 1940, 1950, 1960, 1970, 1975, 1980, 1985, 1995, 2006",,,,,,
censoagro,agricultural_producer_condition,,,280,,,"1920, 1940, 1950, 1960, 1970, 1975, 1980, 1985, 1995, 2006",,,,,,
censoagro,animal_production,,,281,,,"1970, 1975, 1980, 1985, 1995, 2006",,,,,,
censoagro,animal_products,,,282,,,"1920, 1940, 1950, 1960, 1970, 1975, 1980, 1985, 1995, 2006",,,,,,
censoagro,livestock_production,,,6907,,https://sidra.ibge.gov.br/tabela/6907,2017,municipality,,,,,
censoagro,vegetable_production_area,,,283,,,"1920, 1940, 1950, 1960, 1970, 1975, 1980, 1985, 1995, 2006",,,,,,
censoagro,vegetable_production_permanent,,,1730,,,"1940, 1950, 1960, 1970, 1975, 1980, 1985, 1995, 2006",,,,,,
censoagro,vegetable_production_temporary,,,1731,,,"1940, 1950, 1960, 1970, 1975, 1980, 1985, 1995, 2006",,,,,,
comex,,,,,,,1997-2023,,,,,,
comex,export_mun,,,,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/EXP_$year$_MUN.csv,,,,,,,,
comex,export_prod,,,,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/ncm/EXP_$year$.csv,,,,,,,,
comex,import_mun,,,,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/IMP_$year$_MUN.csv,,,,,,,,
comex,import_prod,,,,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/ncm/IMP_$year$.csv,,,,,,,,
degrad,degrad,,,,http://www.obt.inpe.br/OBT/assuntos/programas/amazonia/degrad/arquivos/degrad$year$_final_shp.zip,,2007-2016,,,,,,
degrad,degrad,,2007,,,,,,Degrad2007_Final_pol.shp,,,,
degrad,degrad,,2008,,,,,,Degrad2008_Final_pol.shp,,,,
degrad,degrad,,2009,,,,,,Degrad2009_Final_pol.shp,,,,
degrad,degrad,,2010,,,,,,DEGRAD_2010_UF_pol.shp,,,,
degrad,degrad,,2011,,,,,,DEGRAD_2011_INPE_pol.shp,,,,
degrad,degrad,,2012,,,,,,DEGRAD_2012_INPE_pol.shp,,,,
degrad,degrad,,2013,,,,,,DEGRAD_2013_INPE_pol.shp,,,,
degrad,degrad,,2014,,,,,,DEGRAD_2014_pol.shp,,,,
degrad,degrad,,2015,,,,,,DEGRAD_2015.shp,,,,
degrad,degrad,,2016,,,,,,DEGRAD_2016_pol.shp,,,,
deter,,,,,,,,municipality,,,,,
deter,deter_amz,,,,http://terrabrasilis.dpi.inpe.br/file-delivery/download/deter-amz/shape,,2016-2022,,deter-amz-deter-public.shp,,,,
deter,deter_cerrado,,,,http://terrabrasilis.dpi.inpe.br/file-delivery/download/deter-cerrado/shape,,2018-2022,,deter_public.shp,,,,
epe,consumer_energy_consumption,,,,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/dados-abertos/Documents/Dados_abertos_Consumo_Mensal.xlsx,,2004-2025,"region, subsystem, state",,,,,
epe,consumer_energy_consumption,state,,,,,,,,CONSUMO E NUMCONS SAM UF,,,
epe,consumer_energy_consumption,subsystem,,,,,,,,CONSUMO E NUMCONS SAM,,,
epe,energy_state_panel,,,,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-145/topico-515/Cap%C3%ADtulo%208%20(Dados%20Estaduais).xlsx,,2011-2024,state,,8.1 part 3,,,epe
epe,industrial_energy_consumption,,,,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/dados-abertos/Documents/Dados_abertos_Consumo_Mensal.xlsx,,2004-2025,"region, subsystem, state",,,,,
epe,industrial_energy_consumption,state,,,,,,,,SETOR INDUSTRIAL POR UF,,,
epe,industrial_energy_consumption,subsystem,,,,,,,,SETOR INDUSTRIAL POR RG,,,
epe,national_energy_balance,,,,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-819/topico-716/Anexo%20IX%20-%20Balan%C3%A7os%20Consolidados%20(em%20tep)%201970%20a%202023.xlsx,,2003-2023,,,,,,epe
ibama,,,,,,,,municipality,,,,,
